patronyme,count
DUCHENE,1146
THEVENET,1146
JACQUIN,1145
LEBEAU,1144
BASTIDE,1144
GALLAND,1143
RAGOT,1143
LECOCQ,1141
VANNIER,1140
FLAMENT,1139
LATOUR,1138
SIMONET,1135
GUITTON,1135
PROUST,1135
CONTE,1135
GUEGAN,1134
GEORGE,1132
AVRIL,1132
LE BERRE,1131
CASANOVA,1131
PINEL,1130
LACAZE,1130
PIQUET,1130
BROCHARD,1129
PEPIN,1128
BAPTISTE,1128
DAHAN,1125
CISSE,1120
THEVENIN,1119
VIGOUROUX,1118
BENHAMOU,1116
FERRIER,1116
DUCHEMIN,1115
CALVET,1112
PARISOT,1112
ALVAREZ,1110
CREPIN,1110
BECK,1109
CARDON,1109
DUPOUY,1106
MARAIS,1106
LAPIERRE,1105
BROUSSE,1105
DUBOS,1105
GARCIN,1105
SAIDI,1101
PASTOR,1100
CHARLOT,1100
ROUGIER,1098
PAGE,1098
VIALA,1094
JOSSE,1094
NICOLLE,1092
PIERRON,1092
REBOUL,1091
LE BORGNE,1090
HUE,1090
GAUBERT,1090
MENDES,1089
MORICE,1089
BARTHE,1086
BOISSEAU,1085
VILLAIN,1085
BAUDOIN,1084
GODIN,1079
ROLAND,1077
WOLFF,1076
LE GAL,1075
OGER,1073
FAYOLLE,1072
SERGENT,1070
FROMENT,1070
BERTON,1070
LE BRIS,1068
BOUILLON,1067
CHARRON,1066
PERRON,1066
SERRANO,1066
ROMAN,1065
PELLERIN,1065
REDON,1064
OLLIER,1062
BOURGOIN,1061
THERY,1061
DELAPORTE,1061
VILLENEUVE,1057
ROMERO,1056
WINTERSTEIN,1056
ROMAIN,1055
TEYSSIER,1055
BOSC,1054
BISSON,1054
LESUEUR,1053
BEAU,1050
GUILBAUD,1049
CAILLET,1049
GIORDANO,1048
GONTHIER,1047
LAMARQUE,1046
PORTIER,1046
CHATEAU,1044
BLANDIN,1044
BIANCHI,1041
MARTEAU,1040
LECLERE,1040
CROUZET,1039
NDIAYE,1037
ARNAL,1037
RENOU,1036
LI,1036
BOUYER,1033
MOINE,1033
GENIN,1030
PHAM,1029
BILLON,1029
TISSERAND,1028
VERGER,1026
BRESSON,1025
CAZENAVE,1024
PAQUET,1023
