prenom,sum
MANUELLA,904
CANDICE,901
EDDINE,900
YASMINE,898
NOLWENN,897
MARILYN,896
ABDELLATIF,894
HYACINTHE,893
VALERE,893
EDUARDO,893
CLOTAIRE,892
LAKHDAR,891
YANNIS,888
EDMONDE,888
IAN,888
HELEN,887
DOMINGOS,887
KATY,885
ETIENNETTE,885
BRYAN,883
MARIAN,869
FORTUNE,868
FLEUR,867
MONICA,866
MARIN,863
NASSIM,861
ALBIN,858
REDA,857
MATHURIN,855
JOFFREY,854
FLAVIE,854
POL,853
MOSTAFA,852
ANISSA,851
MARCELLIN,849
HAROLD,848
ABDELHAK,848
CORNIL,841
MELINA,840
NADIR,839
LUCILLE,838
TAREK,833
SALVADOR,833
ALPHONSINE,832
PIETRO,831
ION,825
LOUP,824
ROMAN,823
ANSELME,823
SILVIA,823
ALCIDE,823
MAXIMIN,822
GINA,822
LAMINE,820
KARIN,820
OSMAN,811
AMOR,810
ANIS,809
SEGOLENE,809
MAEL,808
GAUTIER,806
HICHEM,805
LORENZO,804
COLINE,803
MARCELINE,801
NOELLA,801
SOUAD,800
